"a few","いくつかの","A1"
"a few minutes","数分","A1"
"a few times","数回","A1"
"a few years","数年","A1"
"a good idea","良いアイデア","A1"
"Good idea!","良いアイデア！","A1"
"It’s a good idea to…","次のことは良い考えです…","A1"
"That’s a good idea!","それは良いアイデアですね！","A1"
"agree with sb","誰かに同意する","A1"
"a little","少し","A1"
"a little help","ちょっとしたお手伝い","A1"
"a little money","少しのお金","A1"
"a little sugar","砂糖少々","A1"
"a lot","たくさん","A1"
"a lot to do","やるべきことがたくさんある","A1"
"a lot of sth","たくさんの何か","A1"
"all day","終日","A1"
"all night","一晩中","A1"
"all over the world","世界中で","A1"
"anything else","他に何か","A1"
"anyone else","他の誰か","A1"
"a period of time","一定の期間","A1"
"around the world","世界中で","A1"
"arrive at…","…に到着","A1"
"arrive in…","に到着します…","A1"
"ask for sth","何かを求める","A1"
"at home","自宅で","A1"
"at school","学校で","A1"
"at the beginning of sth","何かの始まりに","A1"
"at the end","最後に","A1"
"at the end of sth","何かの終わりに","A1"
"at the moment","現時点で","A1"
"at the same time","同時に","A1"
"at the weekend","週末に","A1"
"at university","大学で","A1"
"at work","仕事で","A1"
"away from sb/sth","誰か/何かから離れて","A1"
"bad for sb/sth","誰か/何かにとって悪いこと","A1"
"bad news","悪い知らせ","A1"
"bad thing","悪いこと","A1"
"the bad things about sth","何かについての悪い点","A1"
"because of","のため","A1"
"begin with sth","何かから始める","A1"
"be going to do sth","何かをするつもりだ","A1"
"best friend","親友","A1"
"black and white","黒と白","A1"
"car park","駐車場","A1"
"cell phone","携帯電話","A1"
"city centre","市内中心部","A1"
"in the city centre","市内中心部にある","A1"
"come from…","から来た…","A1"
"come into sth","何かに入る","A1"
"He came into the room.","彼が部屋に入ってきた。","A1"
"differences between A and B","AとBの違い","A1"
"difficult for sb","誰かにとって難しい","A1"
"it is difficult for sb to do sth","誰かが何かをするのは難しい","A1"
"each other","お互い","A1"
"end in sth","何かで終わる","A1"
"every day","毎日","A1"
"every week","毎週","A1"
"every year","毎年","A1"
"excuse me","すみません","A1"
"family member","家族の一員","A1"
"find out","探し出す","A1"
"find out about sth","何かについて調べる","A1"
"find out more","もっと詳しく知る","A1"
"for a long time","長い間","A1"
"a long time","長い間","A1"
"for a moment","ちょっとの間","A1"
"for example","例えば","A1"
"for lunch","昼食のために","A1"
"for many years","長年にわたって","A1"
"for the first time","初めて","A1"
"get home","家に帰る","A1"
"get married","結婚する","A1"
"get off","降りる","A1"
"get off the bus","バスを降ります","A1"
"I’m getting off here.","ここで下車します。","A1"
"get on","乗る","A1"
"get on the bus","バスに乗ります","A1"
"Are you getting on?","乗ってますか？","A1"
"get ready","準備をする","A1"
"get ready for sth","何かの準備をする","A1"
"get ready to do sth","何かをする準備をする","A1"
"get there","そこに着く","A1"
"get to…","に着く…","A1"
"get up","起きる","A1"
"go back","戻ってください","A1"
"go back to…","に戻る…","A1"
"go home","家に帰れ","A1"
"go into sth","何かに入る","A1"
"She went into her room.","彼女は自分の部屋に入った。","A1"
"good at sth","何かが得意","A1"
"good for sb/sth","誰か/何かにとって良いこと","A1"
"Good morning","おはよう","A1"
"Good afternoon","こんにちは","A1"
"Good evening","こんばんは","A1"
"good news","良いニュース","A1"
"good thing","良いこと","A1"
"the good things about sth","何かの良いところ","A1"
"go out","外出","A1"
"go to bed","寝る","A1"
"go to school","学校に行く","A1"
"go to work","仕事に行く","A1"
"grow up","成長する","A1"
"Guess what…","何だと思う…","A1"
"half an hour","30分","A1"
"hard work","大変な仕事","A1"
"have fun","楽しむ","A1"
"have got","持っています","A1"
"have time","時間がある","A1"
"have time for sth","何かをする時間がある","A1"
"have time to do sth","何かをする時間がある","A1"
"he or she","彼または彼女","A1"
"high school","高校","A1"
"his or her","彼または彼女","A1"
"How about…?","どうですか…？","A1"
"How are you?","元気ですか？","A1"
"How long…?","どのぐらいの間…？","A1"
"How many…?","幾つか…？","A1"
"How much…?","いくら…？","A1"
"How often…?","どのくらいの頻度で…？","A1"
"important for sb/sth","誰か/何かにとって重要な","A1"
"It is important for sb/sth to do sth","誰か/何かが何かをすることは重要です","A1"
"I’m sorry","ごめんなさい","A1"
"in April","4月に","A1"
"in July, etc.","7月などに","A1"
"in bed","ベッドで","A1"
"in class","授業中","A1"
"in fact","実際には","A1"
"in front of","の前に","A1"
"in my opinion","私の意見では","A1"
"in school","学校で","A1"
"in space","宇宙で","A1"
"in summer","夏に","A1"
"in winter","冬に","A1"
"in the centre","中央にある","A1"
"in the centre of sth","何かの中心に","A1"
"in the country","田舎で","A1"
"I live in the country.","私は田舎に住んでいます。","A1"
"the best… in the country","国内最高の…","A1"
"in the future","将来","A1"
"in the morning","午前中に","A1"
"in the afternoon","午後に","A1"
"in the evening","夕方に","A1"
"in the north","北にある","A1"
"in the south","南で","A1"
"in the east","東にある","A1"
"in the west","西にある","A1"
"in the past","過去に","A1"
"in the street","通りで","A1"
"in the summer","夏に","A1"
"in the winter","冬に","A1"
"in town","町で","A1"
"it is important to do sth","何かをすることが重要です","A1"
"It takes…","かかる…","A1"
"It takes an hour to get there.","そこに着くまでに1時間かかります。","A1"
"kind of sb/sth","ある種の誰か/何か","A1"
"What kind of music do you","どんな音楽をやってるの？","A1"
"like?","のように？","A1"
"know how","知っている","A1"
"know how to do sth","何かをする方法を知っています","A1"
"last time","前回","A1"
"the last time","最後に","A1"
"last year","去年","A1"
"last month","先月","A1"
"last summer","去年の夏","A1"
"last week","先週","A1"
"last weekend","先週末","A1"
"learn how to do sth","何かをする方法を学ぶ","A1"
"listen to sb/sth","誰か/何かの話を聞く","A1"
"live with sb","誰かと一緒に暮らす","A1"
"living room","リビングルーム","A1"
"look at sb/sth","誰か/何かを見てください","A1"
"look for sb/sth","誰か/何かを探してください","A1"
"look like sb/sth","誰か/何かに似ている","A1"
"lots of…","たくさんの…","A1"
